process_description_name,original_sentence,time_type,value,has_conditional_clause,scope,reference_time,signals,condition_activity,consequence_1_activity,consequence_2_activity,reference_time_activity,declarative_activity_1,declarative_activity_2,
Quince_Harvest,The quince harvesting process takes place in October and November.,TimeType.DATE,2023-10,FALSE,WHOLE_PROCESS,STARTING_FIRST_ACTIVITY,IN,NO,NO,NO,NO,NO,NO,The quince harvesting process takes place in October and November.
Quince_Harvest,The quince harvesting process takes place in October and November.,TimeType.DATE,2022-11,FALSE,WHOLE_PROCESS,STARTING_FIRST_ACTIVITY,IN,NO,NO,NO,NO,NO,NO,The quince harvesting process takes place in October and November.
Quince_Harvest,"Every day, from 7am the manager checks that the plantation has not been affected by codling moth.",TimeType.SET,P1D,FALSE,SINGLE_ACTIVITY,STARTING_FIRST_ACTIVITY,AFTER,NO,NO,NO,NO,Check for Codling Moth,NO,"Every day, from 7am the manager checks that the plantation has not been affected by codling moth, if it is affected that day's production is interrupted."
Quince_Harvest,"Every day, from 7am the manager checks that the plantation has not been affected by codling moth.",TimeType.TIME,XXXX-XX-XXT07:00,FALSE,SINGLE_ACTIVITY,STARTING_FIRST_ACTIVITY,AFTER,NO,NO,NO,NO,Check for Codling Moth,NO,"Every day, from 7am the manager checks that the plantation has not been affected by codling moth, if it is affected that day's production is interrupted."
Quince_Harvest,"The employees begin to pick the fruits at 8am, when the quinces have almost no dew.",TimeType.TIME,XXXX-XX-XXT08:00,FALSE,SINGLE_ACTIVITY,STARTING_FIRST_ACTIVITY,IN,NO,NO,NO,NO,Start Picking,NO,"The employees begin to pick the fruits at 8am, when the quinces have almost no dew."
Quince_Harvest,"If the workers have not taken a break before 1pm, the manager reminds them that they should take a break soon.",TimeType.TIME,XXXX-XX-XXT13:00,TRUE,ACTIVITY_SET,STARTING_FIRST_ACTIVITY,,,"Break, BEFORE","Warn of Break (1pm),IN",NO,NO,NO,"If the workers have not taken a break before 1pm, the manager reminds them that they should take a break soon."
Quince_Harvest,"7 hours after the employees started picking the fruits, the trucks come and begin to collect the baskets with the quinces at most until 5pm.",TimeType.DURATION,PT7H,FALSE,ACTIVITY_SET,ACTIVITY,,NO,NO,NO,Start Picking,"Trucks Arrive (3pm), AFTER","Load Trucks, AFTER","7 hours after the employees started picking the fruits, the trucks come and begin to collect the baskets with the quinces at most until 5pm."
Quince_Harvest,"7 hours after the employees started picking the fruits, the trucks come and begin to collect the baskets with the quinces at most until 5pm.",TimeType.TIME,XXXX-XX-XXT17:00,FALSE,ACTIVITY_SET,STARTING_FIRST_ACTIVITY,,NO,NO,NO,NO,"Trucks Arrive (3pm), BEFORE","Load Trucks, BEFORE","7 hours after the employees started picking the fruits, the trucks come and begin to collect the baskets with the quinces at most until 5pm."
Quince_Harvest,The supervisor records the fallen fruit not later than 30 minutes after the trucks have finished collecting the baskets.,TimeType.DURATION,PT30M,FALSE,ACTIVITY_SET,ACTIVITY,,NO,NO,NO,Load Trucks,"Start Spoiled Fruit Data Collection, BEFORE",NO,The supervisor records the fallen fruit not later than 30 minutes after the trucks have finished collecting the baskets.
Quince_Harvest,"In the evening, the supervisor records the total number of kilos collected and the hours the employees have worked.",TimeType.TIME,XXXX-XX-XXTEV,FALSE,SINGLE_ACTIVITY,STARTING_FIRST_ACTIVITY,,NO,NO,NO,NO,"Send Recorded Kilos and Hours, IN",NO,"In the evening, the supervisor records the total number of kilos collected and the hours the employees have worked."
Billing_Process_of_an_Internet_Service_Provider_(ISP),The ISP sends an invoice by email to the customer on the first working day of each month (Day 1).,TimeType.DATE,2022-11-01,FALSE,SINGLE_ACTIVITY,STARTING_FIRST_ACTIVITY,,NO,NO,NO,NO,send invoice,NO,The ISP sends an invoice by email to the customer on the first working day of each month (Day 1).
Billing_Process_of_an_Internet_Service_Provider_(ISP),The ISP sends an invoice by email to the customer on the first working day of each month (Day 1).,TimeType.DATE,2022-11-07,FALSE,SINGLE_ACTIVITY,STARTING_FIRST_ACTIVITY,,NO,NO,NO,NO,send invoice,,The ISP sends an invoice by email to the customer on the first working day of each month (Day 1).
Billing_Process_of_an_Internet_Service_Provider_(ISP),"On Day 7, the customer has the full outstanding amount automatically debited from their bank account.",TimeType.DATE,2022-11-08,FALSE,SINGLE_ACTIVITY,STARTING_FIRST_ACTIVITY,,NO,NO,NO,NO,,,"On Day 7, the customer has the full outstanding amount automatically debited from their bank account."
Billing_Process_of_an_Internet_Service_Provider_(ISP),"If an automatic transaction fails for any reason, the customer is notified on Day 8.",TimeType.DATE,2022-11-09,TRUE,ACTIVITY_SET,STARTING_FIRST_ACTIVITY,,,,,NO,,,"If an automatic transaction fails for any reason, the customer is notified on Day 8."
Billing_Process_of_an_Internet_Service_Provider_(ISP),"On Day 9, the transaction that failed on Day 7 is re-attempted.",TimeType.DATE,2022-11-07,FALSE,SINGLE_ACTIVITY,STARTING_FIRST_ACTIVITY,,NO,NO,NO,NO,,,"On Day 9, the transaction that failed on Day 7 is re-attempted."
Billing_Process_of_an_Internet_Service_Provider_(ISP),"If it fails again, on Day 10 a late fee is charged to the customer's bank account.",TimeType.DATE,2022-11-10,TRUE,ACTIVITY_SET,STARTING_FIRST_ACTIVITY,,,,,NO,,,"If it fails again, on Day 10 a late fee is charged to the customer's bank account."
Billing_Process_of_an_Internet_Service_Provider_(ISP),"On Day 14, the Internet service is suspended until payment is received.",TimeType.DATE,2022-11-14,FALSE,SINGLE_ACTIVITY,STARTING_FIRST_ACTIVITY,,NO,NO,NO,NO,,,"On Day 14, the Internet service is suspended until payment is received."
Billing_Process_of_an_Internet_Service_Provider_(ISP),"If on Day 30 the payment is still outstanding, the account is closed and a disconnection fee is applied.",TimeType.DATE,2022-11-30,TRUE,ACTIVITY_SET,STARTING_FIRST_ACTIVITY,,,,,NO,,,"If on Day 30 the payment is still outstanding, the account is closed and a disconnection fee is applied."
Meeting_Related_Activities,Committee Members are advised a week before each meeting to read all related documents.,TimeType.DURATION,P1W,FALSE,ACTIVITY_SET,ACTIVITY,,NO,NO,NO,hold meeting,advise to read related documents,,Committee Members are advised a week before each meeting to read all related documents.
Steps_to_follow_after_receiving_Expense_Report,"If the request is not completed in 7 days, then the employee must receive an “approval in progress” email.",TimeType.DURATION,P7D,TRUE,ACTIVITY_SET,STARTING_FIRST_ACTIVITY,,,,"send ""approval in progress"" email",NO,,,"If the request is not completed in 7 days, then the employee must receive an “approval in progress” email."
Steps_to_follow_after_receiving_Expense_Report,"If the request is not finished within 30 days, then the process is stopped and the employee.",TimeType.DURATION,P30D,TRUE,ACTIVITY_SET,STARTING_FIRST_ACTIVITY,,,,,NO,,,"If the request is not finished within 30 days, then the process is stopped and the employee."
Management_of_Account_Defaulter,"All of this must be completed by 2:30 pm, if it is not, then an alert should be sent to the supervisor.",TimeType.TIME,XXXX-XX-XXT14:30,TRUE,ACTIVITY_SET,STARTING_FIRST_ACTIVITY,,,,,NO,,,"All of this must be completed by 2:30 pm, if it is not, then an alert should be sent to the supervisor."
Management_of_Account_Defaulter,This must be completed by 4:00 pm otherwise a supervisor should be sent a message.,TimeType.TIME,XXXX-XX-XXT16:00,TRUE,ACTIVITY_SET,STARTING_FIRST_ACTIVITY,,,,,NO,,,This must be completed by 4:00 pm otherwise a supervisor should be sent a message.
