"concept:name","cpee:activity_uuid","concept:name","lifecycle:transition","shift:timestamp"
"send invoice","47162c29e82060da3cb1bd17ac9c2c18","send invoice","start","2024-01-02 07:30:00+01:00"
"send invoice","47162c29e82060da3cb1bd17ac9c2c18","send invoice","complete","2024-01-01 07:30:03+01:00"
"customer pays","aeb0ea21c3bfe0ad6754c8fb4e6f9e97","customer pays","start","2024-01-01 07:30:03+01:00"
"wait 7 days","2da5c9142db675aaf92a028bd68e70fc","wait 7 days","start","2024-01-01 07:30:03+01:00"
"wait 7 days","2da5c9142db675aaf92a028bd68e70fc","wait 7 days","complete","2024-01-08 07:30:03+01:00"
"debit outstanding amount","504dc20002d78a7664a1440dc648c78a","debit outstanding amount","start","2024-01-08 07:30:03+01:00"
"debit outstanding amount","504dc20002d78a7664a1440dc648c78a","debit outstanding amount","complete","2024-01-08 07:30:06+01:00"
"wait 1 day","76010ec3c1dee8338f0b7490983158f9","wait 1 day","start","2024-01-08 07:30:06+01:00"
"wait 1 day","76010ec3c1dee8338f0b7490983158f9","wait 1 day","complete","2024-01-09 07:30:06+01:00"
"notify customer","3f68900d44893b0c6f626009b6f7e3a9","notify customer","start","2024-01-09 07:30:06+01:00"
"notify customer","3f68900d44893b0c6f626009b6f7e3a9","notify customer","complete","2024-01-09 07:30:09+01:00"
"wait 1 day","4fb4686e3cc4a2bbcc2cee8098489578","wait 1 day","start","2024-01-09 07:30:09+01:00"
"wait 1 day","4fb4686e3cc4a2bbcc2cee8098489578","wait 1 day","complete","2024-01-10 07:30:09+01:00"
"re-attempt debit outstanding amount","35663426144033c4163ac2031d7916d3","re-attempt debit outstanding amount","start","2024-01-10 07:30:09+01:00"
"re-attempt debit outstanding amount","35663426144033c4163ac2031d7916d3","re-attempt debit outstanding amount","complete","2024-01-10 07:30:12+01:00"
"wait 1 day","1c1e60c92e88513c28daf1df515f416b","wait 1 day","start","2024-01-10 07:30:12+01:00"
"wait 1 day","1c1e60c92e88513c28daf1df515f416b","wait 1 day","complete","2024-01-11 07:30:12+01:00"
"charge late fee","cf93060ea9951d0b5c9ec90bf8066494","charge late fee","start","2024-01-11 07:30:12+01:00"
"charge late fee","cf93060ea9951d0b5c9ec90bf8066494","charge late fee","complete","2024-01-11 07:30:15+01:00"
"wait 4 days","3e55871588ff57644ee0fa781a61e737","wait 4 days","start","2024-01-11 07:30:15+01:00"
"customer pays","aeb0ea21c3bfe0ad6754c8fb4e6f9e97","customer pays","complete","2024-01-07 07:17:05.390000+01:00"
"wait 4 days","3e55871588ff57644ee0fa781a61e737","wait 4 days","complete","2024-01-15 07:30:15+01:00"
"suspend service","6dabe14be71d0d95a471141c59699e5d","suspend service","start","2024-01-15 07:30:15+01:00"
"suspend service","6dabe14be71d0d95a471141c59699e5d","suspend service","complete","2024-01-15 07:30:18+01:00"
